NAME,X,Y,Z
CP_0,602193.85,4390812.34,27.74
CP_1,602201.42,4390823.19,30.36
CP_2,602202.07,4390830.42,30.96
CP_3,602206.42,4390845.28,30.61
CP_4,602206.41,4390856.74,29.93
CP_5,602210.31,4390862.77,30.38
CP_6,602216.25,4390874.05,30.54
CP_7,602222.64,4390863.0,30.54
CP_C7,602212.29,4390859.89,30.22
CP_C8,602217.57,4390857.07,30.68
CP_C5,602213.49,4390857.17,30.31
CP_C1,602220.24,4390880.51,31.92
CP_C2,602222.57,4390876.01,31.68
CP_C3,602223.67,4390870.65,32.29
CP_C4,602223.7,4390865.09,30.92
CP_C6,602209.76,4390856.1,30.56
CP_C9,602204.23,4390859.04,29.61
CP_C15,602206.05,4390855.71,29.66
CP_C16,602206.32,4390852.24,29.73
CP_C17,602206.47,4390848.39,29.88
CP_C18,602208.32,4390845.73,30.6
CP_C11,602203.19,4390844.81,29.39
CP_C19,602207.44,4390841.85,30.84
CP_C20,602205.66,4390840.26,30.38
CP_C26,602199.91,4390830.02,29.88
CP_C27,602204.44,4390827.32,30.6
CP_C28,602205.29,4390828.98,31.41
CP_C14,602195.87,4390828.56,29.31
CP_C13,602193.76,4390831.67,29.62
CP_C30,602199.39,4390823.88,30.12
CP_GPS-fixe,602191.62,4390802.7,27.0
