2005,,,,,,,,,,,
DIST,runDEM,DIST,run3DEM,,,,,,,,
0,965.9169922,0,975.3476563,,,9.43066406,,,,,
0.000378344,959.4990234,0.000378344,969.5351563,,,10.03613281,,,,,
0.000756687,955.3564453,0.000756687,967.8164063,,,12.45996094,,,,,
0.001135031,951.0205078,0.001135031,966.4707031,,,15.45019531,,,,,
0.001513374,951.5849609,0.001513374,960.8886719,,,9.30371094,,,,,
0.001891718,948.5117188,0.001891718,954.6640625,,,6.15234375,,,,,
0.002270061,944.7021484,0.002270061,953.5605469,,,8.85839844,,,,,
0.002648405,939.8125,0.002648405,953.4873047,,,13.67480469,,,,,
0.003026748,935.0673828,0.003026748,949.1904297,,,14.12304688,,,,,
0.003405092,930.4150391,0.003405092,942.8769531,,,12.46191406,,,,,
0.003783435,924.296875,0.003783435,935.9404297,,,11.64355469,,,,,
0.004161779,923.7412109,0.004161779,935.2568359,,,11.515625,,,,,
0.004540122,916.4589844,0.004540122,927.4199219,,,10.9609375,,,,,
0.004918466,908.7060547,0.004918466,920.1357422,,,11.4296875,,,,,
0.005296809,900.9677734,0.005296809,912.7441406,,,11.77636718,,,,,
0.005675153,893.2333984,0.005675153,903.7929688,,,10.55957031,,,,,
0.006053496,884.7236328,0.006053496,895.1484375,,,10.42480469,,,,,
0.00643184,875.6787109,0.00643184,886.4111328,,,10.73242187,,,,,
0.006810183,865.4794922,0.006810183,875.8339844,,,10.35449219,,,,,
0.007188527,853.5634766,0.007188527,865.2041016,,,11.640625,,,,,
0.00756687,841.2158203,0.00756687,853.9980469,,,12.78222657,,,,,
0.007945214,830.4677734,0.007945214,841.8867188,,,11.41894531,,,,,
0.008323557,819.9853516,0.008323557,831.5068359,,,11.52148438,,,,,
0.008701901,810.0429688,0.008701901,820.9287109,,,10.88574219,,,,,
0.009080244,801.3896484,0.009080244,810.4658203,,,9.07617187,,,,,
0.009458588,797.0810547,0.009458588,806.0039063,,,8.92285156,,,,,
0.009836931,788.2636719,0.009836931,798.1630859,,,9.89941406,,,,,
0.010215275,779.5244141,0.010215275,790.9873047,,,11.46289063,,,,,
0.010593618,773.1210938,0.010593618,784.6103516,,,11.48925781,,,,,
0.010971962,765.4189453,0.010971962,777.4003906,,,11.98144531,,,,,
0.011350305,758.2978516,0.011350305,772.3876953,,,14.08984375,,,,,
0.011728649,752.6484375,0.011728649,767.5576172,,,14.90917969,,,,,
0.012106992,748.4990234,0.012106992,762.453125,,,13.95410156,,,,,
0.012485336,745.4833984,0.012485336,757.5019531,,,12.01855468,,,,,
0.012863679,743.4453125,0.012863679,753.8525391,,,10.40722656,,,,,
0.013242023,741.4511719,0.013242023,751.3408203,,,9.88964843,,,,,
0.013620366,739.1816406,0.013620366,749.1904297,,,10.00878907,,,,,
0.01399871,737.0058594,0.01399871,746.8359375,,,9.83007812,,,,,
0.014377053,736.25,0.014377053,746.6601563,,,10.41015625,,,,,
0.014755397,733.7255859,0.014755397,743.6630859,,,9.9375,,,,,
0.01513374,731.4990234,0.01513374,741.59375,,,10.09472656,,,,,
0.015512084,728.9921875,0.015512084,739.7373047,,,10.74511719,,,,,
0.015890427,726.4550781,0.015890427,737.7158203,,,11.26074219,,,,,
0.016268771,724.4921875,0.016268771,737.0351563,,,12.54296875,,,,,
0.016647114,722.3095703,0.016647114,736.1347656,,,13.82519531,,,,,
0.017025458,720.2070313,0.017025458,733.3447266,,,13.13769531,,,,,
0.017403801,717.8974609,0.017403801,730.5878906,,,12.69042968,,,,,
0.017782145,716.3710938,0.017782145,728.8037109,,,12.43261719,,,,,
0.018160488,716.0615234,0.018160488,727.0263672,,,10.96484375,,,,,
0.018538832,715.8212891,0.018538832,724.0664063,,,8.24511719,,,,,
0.018917175,714.7607422,0.018917175,721.8300781,,,7.06933593,,,,,
0.019295519,712.6845703,0.019295519,720.6513672,,,7.96679688,,,,,
0.019673862,711.7177734,0.019673862,719.953125,,,8.23535156,,,,,
0.020052206,710.7333984,0.020052206,718.2714844,,,7.53808594,,,,,
0.020430549,709.6201172,0.020430549,716.65625,,,7.03613281,,,,,
0.020808893,707.7216797,0.020808893,714.9882813,,,7.26660156,,,,,
0.021187236,705.8144531,0.021187236,713.8925781,,,8.078125,,,,,
0.02156558,704.0908203,0.02156558,711.5742188,,,7.48339844,,,,,
0.021943923,702.9052734,0.021943923,708.71875,,,5.81347656,,,,,
0.022322267,701.8574219,0.022322267,705.8007813,,,3.94335937,,,,,
